1	('i',)	48400
2	('jp',)	29380
3	('and',)	16891
4	('the',)	15917
5	('to',)	15259
6	('is',)	12543
7	('my',)	11288
8	('it',)	11024
9	('a',)	10688
10	('was',)	10648
11	('very',)	10286
12	('but',)	9555
13	('nt',)	9177
14	('he',)	8523
15	('in',)	8254
16	('so',)	8010
17	('have',)	7593
18	('we',)	5945
19	('of',)	5809
20	('do',)	5770
21	('school',)	5068
22	('our',)	4808
23	('like',)	4639
24	('that',)	4033
25	('will',)	4017
26	('eat',)	3986
27	('festival',)	3959
28	('because',)	3955
29	('for',)	3922
30	('s',)	3545
31	('breakfast',)	3430
32	('want',)	3307
33	('bread',)	3219
34	('rice',)	3216
35	('many',)	3005
36	('class',)	2848
37	('this',)	2789
38	('me',)	2788
39	('money',)	2761
40	('when',)	2707
41	('morning',)	2671
42	('had',)	2669
43	('bring',)	2621
44	('think',)	2486
45	('are',)	2457
46	('there',)	2448
47	('with',)	2443
48	('if',)	2325
49	('NUM',)	2287
50	('day',)	2225
51	('dream',)	2076
52	('year',)	1994
53	('at',)	1969
54	('much',)	1950
55	('not',)	1941
56	('m',)	1938
57	('on',)	1925
58	('one',)	1906
59	('time',)	1897
60	('they',)	1863
61	('be',)	1861
62	('you',)	1829
63	('then',)	1807
64	('did',)	1787
65	('usually',)	1739
66	('can',)	1737
67	('some',)	1712
68	('were',)	1708
69	('every',)	1666
70	('go',)	1645
71	('people',)	1644
72	('buy',)	1636
73	('too',)	1611
74	('ca',)	1599
75	('good',)	1576
76	('by',)	1567
77	('happy',)	1526
78	('first',)	1511
79	('urashima',)	1507
80	('up',)	1500
81	('about',)	1495
82	('take',)	1468
83	('them',)	1433
84	('went',)	1407
85	('his',)	1325
86	('could',)	1303
87	('get',)	1297
88	('taro',)	1285
89	('or',)	1254
90	('mother',)	1229
91	('milk',)	1210
92	('house',)	1210
93	('said',)	1199
94	('all',)	1198
95	('am',)	1180
96	('out',)	1159
97	('has',)	1129
98	('than',)	1128
99	('important',)	1093
100	('old',)	1062
101	('she',)	1056
102	('ll',)	1049
103	('made',)	1048
104	('lot',)	1041
105	('more',)	1012
106	('as',)	1007
107	('after',)	992
108	('make',)	972
109	('family',)	965
110	('play',)	954
111	('food',)	946
112	('sometimes',)	942
113	('other',)	924
114	('friends',)	917
115	('always',)	905
116	('use',)	902
117	('came',)	895
118	('which',)	892
119	('big',)	891
120	('no',)	879
121	('now',)	878
